강의명,범주,평점,가격,링크
성공적인 코딩 인터뷰를 위한 코딩 인터뷰 정복하기 - 코딩 테스트,사무실무,94점,0,https://www.inflearn.com/course/코딩-인터뷰
직장인을 위한 프로그래밍 입문과 업무자동화 활용,"Python, 업무자동화",86점,33000,https://www.inflearn.com/course/python-파이썬-자동화
선형대수학개론,"선형대수학, 수학, 알고리즘",96점,77000,https://www.inflearn.com/course/선형대수학개론
탈중앙화 eBay 개발!: 실리콘밸리 개발자와 함께,"블록체인, Dapp, IPFS",0점,110000,https://www.inflearn.com/course/ethereum-ipfs
인공지능 R GO! 하자!,"인공지능, R",80점,0,https://www.inflearn.com/course/Python-R-go
Vue.js - Django 연동 웹 프로그래밍,"Vue.js, Django, 웹 개발",86점,33000,https://www.inflearn.com/course/vue-js-2
만들면서 배우는 인공지능(강화학습 편),"인공지능, 강화학습",88점,55000,https://www.inflearn.com/course/인공지능-강화학습
[심화] 앤서블(Ansible)을 깊이 있게 활용하기,Ansible,100점,44000,https://www.inflearn.com/course/ansible-심화
R로 쉽게 배우는 강화학습,"머신러닝, R, 데이터 분석, 강화학습",0점,55000,https://www.inflearn.com/course/R-강화학습-기초
한큐에 끝내는 해커톤 입문_아두이노와 웹,"Python, Arduino, 웹 개발",83점,3300,https://www.inflearn.com/course/해커톤-아두이노-파이썬-입문
C 프로그래밍 - 입문부터 게임 개발까지,C,96점,0,https://www.inflearn.com/course/c-프로그래밍-게임
캐글 실습으로 배우는 데이터 사이언스,데이터 과학,92점,0,https://www.inflearn.com/course/데이터-사이언스-kaggle
이더리움 & 솔리디티 기반의 투표 dApp 구현하기,"Ethereum, Solidity, Dapp",95점,0,https://www.inflearn.com/course/ethereum-solidity-투표-dapp
청와대 청원 데이터 시각화,"데이터 시각화, Python, 웹 크롤링, Selenium",96점,11000,https://www.inflearn.com/course/국민청원-데이터시각화
MongoDB - Javascript로 배우는 NoSQL DB,MongoDB,84점,33000,https://www.inflearn.com/course/mongodb_grammar_basics
"케라스, 인공지능의 공용어 완전정복","인공지능, Keras",80점,33000,https://www.inflearn.com/course/케라스-인공지능-공용어
리액트 네이티브로 투두앱 만들기,React Native,98점,0,https://www.inflearn.com/course/react-native-make-todo
Java 기반 Android 9.0(pie) App 개발 심화 2단계,"Android, 모바일 앱",100점,27500,https://www.inflearn.com/course/android-pie-9-0-2
OpenCV + WebApp (얼굴&눈 검출 웹앱만들기),"웹앱, OpenCV",70점,16500,https://www.inflearn.com/course/opencv-webapp-cv-lecture
Java 기반 Android 9.0(pie) App 개발 기본 1단계,"Android, 모바일 앱",94점,27500,https://www.inflearn.com/course/android-9-pie-1
왕초보 블록체인 개념 완벽 이해하기(with 자바),"Java, 블록체인",73점,44000,https://www.inflearn.com/course/blockchain-2
트러플로 dApp 개발 : 실리콘밸리 개발자와 함께,"Truffle, 블록체인, Dapp",0점,29700,https://www.inflearn.com/course/truffle-dapp
[기초] 처음부터 설치하며 배우는 앤서블(Ansible),"Ansible, DevOps, 시스템자동화",88점,0,https://www.inflearn.com/course/앤서블ansible-기초
데이터 시각화와 차트분석 기법,"데이터 시각화, 디지털 마케팅, 데이터 분석",86점,0,https://www.inflearn.com/course/데이터-시각화-차트분석
맥으로 배우는 윈도우즈 포렌식,"Forensic, Windows-OS, 정보보안",100점,110000,https://www.inflearn.com/course/forensic-2
스프링 프레임워크 개발자를 위한 실습을 통한 입문 과정,"Java, Spring",91점,22000,https://www.inflearn.com/course/스프링-프레임워크-입문
만들면서 배우는 Spring MVC 5,"Java, Spring, MVC, XML",100점,88000,https://www.inflearn.com/course/spring-mvc5-project
OpenCV 를 활용한 명함인식 기능 구현 강좌,OpenCV,89점,29700,https://www.inflearn.com/course/opencv-강좌-명함인식
취미로 해킹#1(OverTheWire - Bandit),"화이트해커, Linux, 시스템해킹",97점,33000,https://www.inflearn.com/course/linux-3
Bootstrap 4 & 3 Framework Tutorial,"Bootstrap, 웹 퍼블리싱",100점,22000,https://www.inflearn.com/course/bootstrap-2
[R을 R려줘] R 시각화 기초,"데이터 시각화, R",92점,33000,https://www.inflearn.com/course/r-시각화-기초
ionic 3로 만드는 Push Message Server,"IONIC, 모바일 앱",100점,22000,https://www.inflearn.com/course/push-message-server
Pandas 팬더스 데이터분석 기초 실습,"Pandas, 데이터 분석",97점,0,https://www.inflearn.com/course/pandas-팬더스-데이터분석-기초
플러터와 장고로 1시간만에 퀴즈 앱/서버 만들기 [무작정 풀스택],"Django, Google Flutter, 모바일 앱, Full-Stack",100점,0,https://www.inflearn.com/course/플러터-장고-퀴즈앱-서버-풀스택
[PyTorch] 쉽고 빠르게 배우는 딥러닝,"딥러닝, 인공지능, 신경망, PyTorch",0점,82500,https://www.inflearn.com/course/PyTorch-딥러닝
. 웹개발 코스 [JAVA 개발언어],"Java, 웹 개발",90점,0,https://www.inflearn.com/course/웹개발-기초-java
나도 만들어본다 AI 앱 (tensorflow2.0 + android),"Tensorflow, Android, 머신러닝, 인공지능",80점,11000,https://www.inflearn.com/course/tensorflow-android-mobile-ai-app
처음 시작하는 C언어,C,95점,0,https://www.inflearn.com/course/c
[응용] 다양한 환경을 앤서블(Ansible)로 관리하기 with 베이그런트(Vagrant),"DevOps, Ansible, 시스템자동화",80점,33000,https://www.inflearn.com/course/ansible-응용
Django로 배워보는 Web Programming,"Python, Django",76점,0,https://www.inflearn.com/course/django-web-programming
Start Google Angular.js 앵귤러 과정,"Front-End, Angular",0점,22000,https://www.inflearn.com/course/angular-js
처음 시작하는 CSS & CSS3 Tutorials,"HTML/CSS, 웹 퍼블리싱",90점,0,https://www.inflearn.com/course/css-3
[PyTorch] 쉽고 빠르게 배우는 NLP,"딥러닝, 신경망, PyTorch, 자연어처리(NLP)",0점,55000,https://www.inflearn.com/course/pytorch-쉽고-빠르게-배우는-nlp
나의 첫 Django 앱 만들기,"Django, 모바일 앱",79점,0,https://www.inflearn.com/course/나의-첫-django-앱-만들기
Node.js 서버 프로그래밍 과정,"Back-End, Node.js",88점,22000,https://www.inflearn.com/course/node-js
내 맥북을 자동화하기: 단순반복 작업이여 안녕,업무자동화,80점,55000,https://www.inflearn.com/course/keyboard-maestro
코틀린 기반 안드로이드 앱개발 심화 2단계,"Kotlin, Android, 모바일 앱",97점,27500,https://www.inflearn.com/course/kotlin-android-lv2
[R을 R려줘] R시각화 중급,"데이터 시각화, R",100점,33000,https://www.inflearn.com/course/r시각화
이것이 우분투 리눅스다,Linux,89점,0,https://www.inflearn.com/course/이것이-우분투-리눅스다
"리액트, 리덕스로 타이머 앱 만들기",업무자동화,100점,0,https://www.inflearn.com/course/리덕스
현존 최강 크롤링 기술: Scrapy와 Selenium 정복,"웹 크롤링, Scrapy, Selenium",100점,44000,https://www.inflearn.com/course/Crawling-Scrapy-Selenium
처음시작하는 Google 공식 개발 언어 Kotlin,Kotlin,86점,16500,https://www.inflearn.com/course/google-official-lang-kotlin
안드로이드를 위한 자바 프로그래밍,"Java, Android",95점,0,https://www.inflearn.com/course/android_java
코틀린 기반 안드로이드 앱개발 기본 1단계,"Android, Kotlin, 모바일 앱",89점,27500,https://www.inflearn.com/course/kotlin-android-lv1
악성코드 분석을 위한 메모리 포렌식 (memory forensic),Forensic,88점,88000,https://www.inflearn.com/course/메모리-포렌식-memory-forensic
Vue.js 프로젝트를 통한 실무 개발 과정,"Front-End, Back-End, Javascript, Vue.js",0점,27500,https://www.inflearn.com/course/Vuejs-project
Django 초보 가이드 - 실습을 통해 알아보는 장고 입문,Django,90점,0,https://www.inflearn.com/course/django-초보-가이드-실습을-통해-알아보는-장고-입문
처음시작하는 HTML & HTML5 Tutorials,HTML/CSS,0점,16500,https://www.inflearn.com/course/html-2
안드로이드 악성코드 분석 - 자동화 분석편,"정보보안, Android",100점,44000,https://www.inflearn.com/course/안드로이드-악성코드-분석-자동화-분석
앤서블(Ansible)버전 2.5의 새로운 점,"DevOps, Ansible",80점,0,https://www.inflearn.com/course/ansible-2-5
코틀린 기반 안드로이드 앱개발 고급 3단계,"Kotlin, Android, 모바일 앱",60점,27500,https://www.inflearn.com/course/kotlin-android-lv3
Web2 - OAuth 2.0,"웹앱, OAuth",100점,0,https://www.inflearn.com/course/web2-oauth2
처음시작하는 JavaScript Tutorials,Javascript,90점,16500,https://www.inflearn.com/course/javascript
